Technique,Width,Amplitude,Time,Correct
Mouse, 0.2, 1, 1525, True
Mouse, 0.2, 1, 663, True
Mouse, 0.2, 1, 762, True
Mouse, 0.2, 1, 727, True
Mouse, 0.2, 1, 588, True
Mouse, 0.2, 1, 541, True
Mouse, 0.2, 1, 533, True
Mouse, 0.2, 1, 501, True
Mouse, 0.2, 1, 469, True
Mouse, 0.4, 2, 645, True
Mouse, 0.4, 2, 462, True
Mouse, 0.4, 2, 512, True
Mouse, 0.4, 2, 503, True
Mouse, 0.4, 2, 481, True
Mouse, 0.4, 2, 581, True
Mouse, 0.4, 2, 446, True
Mouse, 0.4, 2, 452, True
Mouse, 0.4, 2, 478, True
Mouse, 0.6, 1, 526, True
Mouse, 0.6, 1, 349, True
Mouse, 0.6, 1, 366, True
Mouse, 0.6, 1, 293, True
Mouse, 0.6, 1, 333, True
Mouse, 0.6, 1, 301, True
Mouse, 0.6, 1, 311, True
Mouse, 0.6, 1, 388, True
Mouse, 0.6, 1, 332, True
Mouse, 0.6, 3, 726, True
Mouse, 0.6, 3, 468, True
Mouse, 0.6, 3, 415, True
Mouse, 0.6, 3, 379, True
Mouse, 0.6, 3, 357, True
Mouse, 0.6, 3, 398, True
Mouse, 0.6, 3, 391, True
Mouse, 0.6, 3, 389, True
Mouse, 0.6, 3, 438, True
Mouse, 0.2, 2, 757, True
Mouse, 0.2, 2, 682, True
Mouse, 0.2, 2, 734, True
Mouse, 0.2, 2, 557, True
Mouse, 0.2, 2, 598, True
Mouse, 0.2, 2, 523, True
Mouse, 0.2, 2, 543, True
Mouse, 0.2, 2, 692, True
Mouse, 0.2, 2, 751, True
Mouse, 0.4, 3, 844, True
Mouse, 0.4, 3, 566, True
Mouse, 0.4, 3, 483, True
Mouse, 0.4, 3, 575, True
Mouse, 0.4, 3, 444, True
Mouse, 0.4, 3, 516, True
Mouse, 0.4, 3, 541, True
Mouse, 0.4, 3, 424, True
Mouse, 0.4, 3, 523, True
Mouse, 0.2, 3, 1101, True
Mouse, 0.2, 3, 870, True
Mouse, 0.2, 3, 702, True
Mouse, 0.2, 3, 901, True
Mouse, 0.2, 3, 628, True
Mouse, 0.2, 3, 852, True
Mouse, 0.2, 3, 669, True
Mouse, 0.2, 3, 655, True
Mouse, 0.2, 3, 683, True
Mouse, 0.6, 2, 781, True
Mouse, 0.6, 2, 486, True
Mouse, 0.6, 2, 396, True
Mouse, 0.6, 2, 413, True
Mouse, 0.6, 2, 334, True
Mouse, 0.6, 2, 451, True
Mouse, 0.6, 2, 407, True
Mouse, 0.6, 2, 508, True
Mouse, 0.6, 2, 486, True
Mouse, 0.4, 1, 725, True
Mouse, 0.4, 1, 460, True
Mouse, 0.4, 1, 511, True
Mouse, 0.4, 1, 405, True
Mouse, 0.4, 1, 413, True
Mouse, 0.4, 1, 461, True
Mouse, 0.4, 1, 367, True
Mouse, 0.4, 1, 410, True
Mouse, 0.4, 1, 355, True
TouchPad, 0.2, 1, 1739, True
TouchPad, 0.2, 1, 1067, True
TouchPad, 0.2, 1, 682, True
TouchPad, 0.2, 1, 871, True
TouchPad, 0.2, 1, 1171, True
TouchPad, 0.2, 1, 907, True
TouchPad, 0.2, 1, 724, True
TouchPad, 0.2, 1, 891, True
TouchPad, 0.2, 1, 869, True
TouchPad, 0.4, 1, 594, True
TouchPad, 0.4, 1, 852, True
TouchPad, 0.4, 1, 695, True
TouchPad, 0.4, 1, 672, True
TouchPad, 0.4, 1, 668, True
TouchPad, 0.4, 1, 606, True
TouchPad, 0.4, 1, 657, True
TouchPad, 0.4, 1, 610, True
TouchPad, 0.4, 1, 706, True
TouchPad, 0.6, 1, 601, True
TouchPad, 0.6, 1, 589, True
TouchPad, 0.6, 1, 586, True
TouchPad, 0.6, 1, 531, True
TouchPad, 0.6, 1, 596, True
TouchPad, 0.6, 1, 526, True
TouchPad, 0.6, 1, 640, True
TouchPad, 0.6, 1, 528, True
TouchPad, 0.6, 1, 541, True
TouchPad, 0.2, 2, 964, True
TouchPad, 0.2, 2, 955, True
TouchPad, 0.2, 2, 751, True
TouchPad, 0.2, 2, 867, True
TouchPad, 0.2, 2, 1283, True
TouchPad, 0.2, 2, 867, True
TouchPad, 0.2, 2, 983, True
TouchPad, 0.2, 2, 656, True
TouchPad, 0.2, 2, 1033, True
TouchPad, 0.4, 2, 691, True
TouchPad, 0.4, 2, 765, True
TouchPad, 0.4, 2, 755, True
TouchPad, 0.4, 2, 689, True
TouchPad, 0.4, 2, 693, True
TouchPad, 0.4, 2, 677, True
TouchPad, 0.4, 2, 1100, True
TouchPad, 0.4, 2, 589, True
TouchPad, 0.4, 2, 796, True
TouchPad, 0.6, 3, 594, True
TouchPad, 0.6, 3, 736, True
TouchPad, 0.6, 3, 592, True
TouchPad, 0.6, 3, 644, True
TouchPad, 0.6, 3, 686, True
TouchPad, 0.6, 3, 576, True
TouchPad, 0.6, 3, 831, True
TouchPad, 0.6, 3, 594, True
TouchPad, 0.6, 3, 618, True
TouchPad, 0.6, 2, 759, True
TouchPad, 0.6, 2, 664, True
TouchPad, 0.6, 2, 651, True
TouchPad, 0.6, 2, 774, True
TouchPad, 0.6, 2, 586, True
TouchPad, 0.6, 2, 683, True
TouchPad, 0.6, 2, 622, True
TouchPad, 0.6, 2, 594, True
TouchPad, 0.6, 2, 722, True
TouchPad, 0.2, 3, 851, True
TouchPad, 0.2, 3, 934, True
TouchPad, 0.2, 3, 762, True
TouchPad, 0.2, 3, 811, True
TouchPad, 0.2, 3, 902, True
TouchPad, 0.2, 3, 857, True
TouchPad, 0.2, 3, 849, True
TouchPad, 0.2, 3, 867, True
TouchPad, 0.2, 3, 813, True
TouchPad, 0.4, 3, 689, True
TouchPad, 0.4, 3, 934, True
TouchPad, 0.4, 3, 883, True
TouchPad, 0.4, 3, 897, True
TouchPad, 0.4, 3, 670, True
TouchPad, 0.4, 3, 779, True
TouchPad, 0.4, 3, 808, True
TouchPad, 0.4, 3, 710, True
